pid ; x ; y ; t ; d ; a ; c ; l ; p ; h
1;0.0;0.0;4.218303;<null>;0.0;23.17018;8.960001;1014.346;42.25413
2;0.01178097;-7.155726e-06;8.376341;<null>;-0.1421053;23.17672;12.8;1014.279;42.93412
3;6.004568;-1.604427;12.0903;<null>;-24.99022;23.16054;9.280001;1014.412;42.59404
4;13.09977;-10.05355;16.43318;120;-66.7895;23.17579;8.960001;1014.396;42.29876
5;-0.906971;-30.12564;28.2042;126;-176.3328;23.20566;6.72;1014.4;42.32685
6;8.74262;-33.58904;32.62026;<null>;-35.83826;23.1789;0.0;1014.415;42.27091
7;14.32268;-42.6498;36.98645;<null>;-75.14062;23.17298;0.0;1014.397;42.12037
8;8.693437;-57.24184;44.08023;<null>;-141.6459;23.15742;11.52;1014.385;42.14256
9;7.937825;-62.28494;52.31336;<null>;-30.95282;23.16707;3.52;1014.414;41.96982
10;14.63416;-71.38734;56.71134;<null>;-71.27004;23.15618;1.6;1014.401;42.20387
11;9.274512;-87.54889;64.51541;157;-138.8713;23.1652;0.0;1014.414;42.10916
12;0.6813026;-90.85979;68.21134;109;-172.8346;23.15245;0.0;1014.411;42.17038
13;8.047904;-93.64982;72.60022;161;-31.52774;23.12226;0.0;1014.399;42.13115
14;14.5288;-108.2528;80.11338;154;-95.00813;23.11417;0.0;1014.411;42.29273
15;5.615043;-120.1276;88.28025;<null>;-152.0723;23.12786;11.84;1014.416;42.10333
16;9.866295;-126.6497;96.00722;<null>;-45.15543;23.14;10.56;1014.407;42.20375
17;11.53594;-144.0029;104.3214;<null>;-116.3706;23.11915;9.6;1014.399;42.14229
18;2.677307;-152.224;112.2784;<null>;-11.42327;23.09394;10.56;1014.409;42.18668
19;13.47562;-166.6247;120.8503;141;-88.91124;23.10483;10.88;1014.428;42.12546
20;3.620186;-180.0282;128.1216;143;-156.6351;23.10421;9.6;1014.427;42.10316
21;10.91612;-191.5271;136.6391;23;-80.12834;23.08274;1.92;1014.298;42.57669
